dmandoria		"Andoria Deathmatch"
dmhive		"K'Chekrik Deathmatch"
dmcanyon		"Canyon Deathmatch"
dmcloud		"Cloud Deathmatch"
tutorial		"The Tutorial"
ssdocks		"Docks"
sswarehouse		"Warehouse"
sstown		"Silverspring Town"
sspalace		"Palace"
andhealer		"Healer Tower"
andplaza		"Plaza"
andacademic		"Academy"
andslums		"Slums"
canyon		"Canyon"
hive1			"Hive1"
hive2			"Hive2"
hivetrialpit	"Hivetrialpit"	
hivepriestess	"Hivepriestess"
oglemine1		"Oglemine1"
oglemine2		"Oglemine2"
dungeon		"Dungeon"
cloudhub		"Cloudhub"
cloudlabs		"Cloudlabs"
cloudquarters	"Cloudquarters"
dmbloodfeud		"DM Blood Feud"
dmcitadel		"DM Citadel"
dmlava		"DM Lava"
rendm			"DM Rend"
dmjersey    	"EP Corridor"
dmoz			"EP Blood Orgy"
dmlight 		"EP Light"
dmdarkness		"EP Darkness"
dmstonehenge	"EP Stonehenge"
dmtorture		"EP Torture"
dmtower		"EP Tower"
dmoutpost		"EP Darkmire Outpost"
